exp,clay,depth,init.soc,soc.d13c,added.d13c,lat,long
bb21,23.4,23,28.106,-25,-12,51.8096,-0.3563
bb22,23.4,23,28.106,-25,-12,51.8096,-0.3563
bb3,23.4,23,28.106,-25,-12,51.8096,-0.3563
bb5,23.4,23,28.106,-25,-12,51.8096,-0.3563
bb8,23.4,23,28.106,-25,-12,51.8096,-0.3563
expt_sanborn_cmf,28.3,20,58.1,-25,-12,38.9423,-92.3204
expt_sanborn_cmn,28.3,20,58.1,-25,-12,38.9423,-92.3204
expt_sanborn_cwf,28.3,20,58.1,-25,-12,38.9423,-92.3204
expt_sanborn_cwm,28.3,20,58.1,-25,-12,38.9423,-92.3204
expt_sanborn_cwn,28.3,20,58.1,-25,-12,38.9423,-92.3204
hoos6,23.4,23,33.8,-25,-12,51.8096,-0.3563
hoos7_1,23.4,23,33.8,-25,-12,51.8096,-0.3563
hoos7_2,23.4,23,33.8,-25,-12,51.8096,-0.3563
expt_pendleton_fB_N0,18,30,48.67,-25,-12,45.7191,-118.6223
expt_pendleton_sB_N0,18,30,48.12,-25,-12,45.7191,-118.6223
expt_pendleton_nB_N0,18,30,50.21,-25,-12,45.7191,-118.6223
expt_pendleton_sB_N45,18,30,49.24,-25,-12,45.7191,-118.6223
expt_pendleton_sB_N90,18,30,49.41,-25,-12,45.7191,-118.6223
expt_pendleton_nB_N45,18,30,49.9,-25,-12,45.7191,-118.6223
expt_pendleton_nB_N90,18,30,48.75,-25,-12,45.7191,-118.6223
expt_pendleton_nB_PV,18,30,49.92,-25,-12,45.7191,-118.6223
expt_pendleton_nB_MN,18,30,48.57,-25,-12,45.7191,-118.6223
